% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  259   723.925  235.62  0.0692  0.2717
  260   724.224  246.36  0.0494  0.1699
  261   724.524  253.55  0.0371  0.1178
  262   724.823  252.89  0.0603  0.2457
  263   725.123  245.52  0.0599  0.2183
  264   725.423  233.33  0.1421  0.4070
  265   725.724  241.36  0.1144  0.4144
  266   726.025  252.39  0.0181  0.0611
  267   726.326  252.60  0.0308  0.1023
  268   726.627  246.07  0.0357  0.0920
  269   726.928  232.68  0.0507  0.1819
  270   727.230  236.50  0.0593  0.2433
  271   727.532  249.78  0.0231  0.0680
  272   727.834  252.21  0.0198  0.0546
  273   728.136  246.51  0.0299  0.0926
  274   728.439  232.53  0.0590  0.2823
  275   728.055  248.75  0.0288  0.0674
  276   728.357  236.01  0.0570  0.2267
  277   728.660  230.74  0.0532  0.3075
  278   728.963  240.86  0.0946  0.4602
  279   729.266  245.37  0.0903  0.2823
  280   729.569  245.12  0.0666  0.3343
  281   729.873  235.47  0.0976  0.2831
  282   730.177  229.90  0.1203  0.4967
  283   730.481  239.78  0.1748  0.6580
  284   730.785  245.21  0.0979  0.2897
  285   731.090  245.64  0.0842  0.2583
  286   731.395  237.15  0.0705  0.3001
  287   731.700  230.65  0.0638  0.3453
  288   732.005  241.10  0.0476  0.1817
  289   732.311  249.25  0.0254  0.0849
  290   732.617  249.82  0.0222  0.0835
  291   732.923  238.66  0.0688  0.2417
  292   733.230  231.19  0.0603  0.2851
  293   733.536  241.58  0.0300  0.1254
  294   733.843  249.64  0.0282  0.0900
  295   734.150  250.45  0.0302  0.1036
  296   734.458  238.96  0.0907  0.2611
  297   734.765  231.81  0.0545  0.2876
  298   735.073  242.50  0.0335  0.1322
  299   735.381  249.82  0.0475  0.1644
  300   735.690  250.22  0.0257  0.0790
  301   735.999  238.80  0.0726  0.2378
  302   736.308  232.37  0.0656  0.3030
  303   736.617  242.28  0.0465  0.1426
  304   736.926  248.52  0.0266  0.1002
  305   737.236  249.51  0.0237  0.0938
  306   737.546  239.05  0.0605  0.2800
  307   737.856  234.26  0.0878  0.2992
  308   738.167  245.94  0.0386  0.1029
  309   738.477  251.54  0.0212  0.0879
  310   738.788  250.25  0.0238  0.0848
  311   739.100  238.80  0.0709  0.3435
  312   739.411  235.70  0.0993  0.3534
  313   739.723  247.27  0.0367  0.1322
  314   740.035  250.63  0.0355  0.1225
  315   740.347  245.38  0.0707  0.2137
  316   740.660  233.80  0.0880  0.4116
  317   740.973  230.96  0.0540  0.3100
  318   741.286  232.29  0.1211  0.6317
  319   741.599  233.86  0.2787  1.6591
  320   741.913  241.45  0.1963  0.9827
  321   742.227  236.91  0.0785  0.3824
  322   742.541  241.87  0.0694  0.3238
  323   742.855  254.45  0.0398  0.1394
  324   743.170  257.31  0.0218  0.0854
  325   743.485  249.49  0.0620  0.3110
  326   743.800  238.56  0.1211  0.3241
  327   744.116  245.43  0.1175  0.3431
  328   744.431  255.31  0.0455  0.1691
  329   744.747  253.78  0.0372  0.1263
  330   745.064  245.95  0.0851  0.3036
  331   745.380  241.19  0.0686  0.3548
  332   745.697  253.33  0.0798  0.2714
  333   746.014  261.74  0.0259  0.0885
  334   746.331  259.07  0.0191  0.0586
  335   746.649  247.51  0.0733  0.3263
  336   746.967  244.73  0.0702  0.3411
  337   747.285  258.02  0.0813  0.2591
  338   747.603  262.72  0.0270  0.1082
  339   747.922  256.66  0.0379  0.1345
  340   748.241  245.03  0.0763  0.3917
  341   748.560  248.13  0.0688  0.3229
  342   748.879  260.73  0.0496  0.1865
  343   749.199  262.80  0.0174  0.0589
  344   749.519  254.87  0.0429  0.1861
  345   749.839  246.93  0.0920  0.3827
  346   750.160  254.23  0.0808  0.2868
  347   750.481  262.01  0.0220  0.0625
  348   750.802  261.03  0.0389  0.1241
  349   751.123  252.42  0.0785  0.2510
  350   751.445  250.07  0.0711  0.3515
  351   751.766  259.96  0.0594  0.1642
  352   752.089  262.68  0.0420  0.2533
  353   752.411  258.37  0.0581  0.3075
  354   752.734  251.48  0.0814  0.2810
  355   753.057  254.60  0.0623  0.2281
  356   753.380  262.87  0.0324  0.1062
  357   753.703  262.08  0.0561  0.2924
  358   754.027  254.66  0.0805  0.2396
  359   754.351  249.84  0.0732  0.2160
  360   754.676  254.62  0.0906  0.3851
  361   755.000  262.90  0.0483  0.2049
  362   755.325  264.16  0.0159  0.0574
  363   755.650  256.73  0.0721  0.2174
  364   755.976  255.29  0.0783  0.2815
  365   756.301  263.17  0.0321  0.1261
  366   756.627  266.34  0.0239  0.0861
  367   756.954  262.10  0.0416  0.1422
  368   757.280  255.84  0.0832  0.2436
  369   757.607  259.65  0.0639  0.2075
  370   757.934  266.49  0.0357  0.1677
  371   758.261  267.62  0.0105  0.0358
  372   758.589  262.57  0.0579  0.1772
  373   758.917  260.28  0.0754  0.2214
