% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
  768   903.429  0.013
  769   903.778  0.012
  770   911.235  0.012
  771   911.590  0.011
  772   911.945  0.011
  773   912.301  0.011
  774   912.656  0.011
  775   913.012  0.011
  776   913.369  0.012
  777   913.725  0.010
  778   914.082  0.010
  779   914.439  0.009
  780   914.796  0.010
  781   915.154  0.012
  782   915.512  0.011
  783   915.870  0.011
  784   916.229  0.011
  785   916.588  0.011
  786   916.947  0.011
  787   917.306  0.011
  788   917.666  0.011
  789   918.026  0.011
  790   918.386  0.012
  791   918.747  0.011
  792   919.108  0.011
  793   919.469  0.011
  794   919.830  0.011
  795   920.192  0.011
  796   920.554  0.011
  797   920.917  0.014
  798   921.279  0.011
  799   921.642  0.010
  800   922.005  0.021
  801   922.369  0.020
  802   922.733  0.009
  803   923.097  0.011
  804   923.461  0.011
  805   923.826  0.012
  806   924.191  0.011
  807   924.556  0.011
  808   924.922  0.017
  809   925.288  0.013
  810   925.654  0.013
  811   926.021  0.011
  812   926.387  0.010
  813   926.754  0.010
  814   927.122  0.011
  815   927.490  0.010
  816   927.858  0.010
  817   928.226  0.011
  818   928.594  0.017
  819   928.963  0.010
  820   929.333  0.014
  821   929.702  0.011
  822   930.072  0.010
  823   930.442  0.010
  824   930.812  0.011
  825   931.183  0.010
  826   931.554  0.010
  827   931.925  0.012
  828   932.297  0.012
  829   932.669  0.013
  830   933.041  0.011
  831   933.414  0.010
  832   933.787  0.011
  833   934.160  0.011
  834   934.533  0.011
  835   934.907  0.011
  836   935.281  0.011
  837   935.655  0.011
  838   936.030  0.011
  839   936.405  0.011
  840   936.780  0.012
  841   937.156  0.013
  842   937.532  0.013
  843   937.908  0.012
  844   938.285  0.011
  845   938.662  0.012
  846   939.039  0.011
  847   939.416  0.011
  848   939.794  0.012
  849   940.172  0.013
  850   940.550  0.015
  851   940.929  0.025
  852   941.308  0.022
  853   941.688  0.011
  854   942.067  0.011
  855   942.447  0.013
  856   942.827  0.010
  857   943.208  0.011
  858   943.589  0.012
  859   943.970  0.013
  860   944.352  0.015
  861   944.734  0.024
  862   945.116  0.020
  863   945.498  0.011
  864   945.881  0.013
  865   946.264  0.012
  866   946.647  0.013
  867   947.031  0.013
  868   947.415  0.013
  869   947.800  0.015
  870   948.184  0.021
  871   948.569  0.014
  872   948.955  0.010
  873   949.340  0.013
  874   949.726  0.011
  875   950.113  0.010
  876   950.499  0.010
  877   950.886  0.010
  878   951.273  0.011
  879   951.661  0.010
  880   952.049  0.010
  881   952.437  0.009
  882   952.826  0.009
  883   953.214  0.014
  884   953.604  0.013
  885   953.993  0.011
  886   954.383  0.013
  887   954.773  0.012
  888   955.163  0.015
  889   955.554  0.015
  890   955.945  0.016
  891   956.337  0.009
  892   956.729  0.009
  893   957.121  0.009
  894   957.513  0.009
  895   957.906  0.009
  896   958.299  0.009
  897   958.692  0.011
  898   959.086  0.020
  899   959.480  0.019
  900   959.874  0.015
  901   960.269  0.014
  902   960.664  0.013
  903   961.060  0.012
  904   961.455  0.011
  905   961.851  0.011
  906   962.248  0.011
  907   962.644  0.010
  908   963.041  0.009
  909   963.439  0.009
  910   963.836  0.010
  911   964.234  0.009
  912   964.633  0.009
  913   965.031  0.009
  914   965.430  0.011
  915   965.830  0.017
  916   966.229  0.017
  917   966.630  0.017
  918   967.030  0.021
  919   967.431  0.014
  920   967.832  0.010
  921   968.233  0.010
  922   968.635  0.012
  923   969.037  0.014
  924   969.439  0.013
  925   969.842  0.015
  926   970.245  0.014
  927   970.648  0.014
  928   971.052  0.024
  929   971.456  0.018
  930   971.860  0.020
  931   972.265  0.015
  932   972.670  0.017
  933   973.076  0.020
  934   973.481  0.019
  935   973.887  0.018
  936   974.294  0.020
  937   973.818  0.018
  938   974.225  0.024
  939   974.631  0.016
  940   975.039  0.014
  941   975.446  0.013
  942   975.854  0.024
  943   976.262  0.019
  944   976.670  0.018
  945   977.079  0.017
  946   977.488  0.021
  947   977.898  0.023
  948   978.308  0.019
  949   978.718  0.023
  950   979.128  0.024
