% RMS fitting errors for the 48 training profiles at 6 angles.
% September 2002 "m135f" AIRS-RTA
%
% These errors are the root mean square difference in the BT
% (brightness temperature) computed using the regression
% training data (convolved layer-to-space transmittances),
% and BT computed using the fast model.  For these calculations
% we used surface emissivity=unity and reflectivity=zero.
%
%  ID    freq     RMS
%----  --------  -----
 1021  1009.171  0.079
 1022  1009.607  0.088
 1023  1010.044  0.083
 1024  1010.480  0.068
 1025  1010.918  0.078
 1026  1011.355  0.072
 1027  1011.793  0.080
 1028  1012.231  0.068
 1029  1012.670  0.052
 1030  1013.109  0.055
 1031  1013.549  0.063
 1032  1013.988  0.065
 1033  1014.429  0.076
 1034  1014.869  0.069
 1035  1015.310  0.064
 1036  1015.751  0.066
 1037  1016.193  0.060
 1038  1016.635  0.062
 1039  1017.078  0.051
 1040  1017.520  0.064
 1041  1017.964  0.073
 1042  1018.407  0.065
 1043  1018.851  0.062
 1044  1019.296  0.055
 1045  1019.740  0.055
 1046  1020.185  0.058
 1047  1020.631  0.071
 1048  1021.077  0.074
 1049  1021.523  0.070
 1050  1021.969  0.072
 1051  1022.416  0.077
 1052  1022.864  0.075
 1053  1023.312  0.085
 1054  1023.760  0.085
 1055  1024.208  0.101
 1056  1024.657  0.100
 1057  1025.106  0.099
 1058  1025.556  0.112
 1059  1026.006  0.104
 1060  1026.457  0.119
 1061  1026.907  0.116
 1062  1027.359  0.124
 1063  1027.810  0.121
 1064  1028.262  0.111
 1065  1028.714  0.120
 1066  1029.167  0.133
 1067  1029.620  0.133
 1068  1030.074  0.117
 1069  1030.528  0.133
 1070  1030.982  0.139
 1071  1031.437  0.113
 1072  1031.892  0.094
 1073  1032.348  0.093
 1074  1032.803  0.102
 1075  1033.260  0.098
 1076  1033.716  0.080
 1077  1034.173  0.080
 1078  1034.631  0.092
 1079  1035.089  0.075
 1080  1035.547  0.056
 1081  1036.005  0.069
 1082  1036.464  0.074
 1083  1036.924  0.062
 1084  1037.384  0.067
 1085  1037.844  0.067
 1086  1038.305  0.066
 1087  1038.766  0.067
 1088  1039.227  0.081
 1089  1039.689  0.075
 1090  1040.151  0.087
 1091  1040.614  0.101
 1092  1041.077  0.109
 1093  1041.540  0.147
 1094  1042.004  0.142
 1095  1042.468  0.049
 1096  1042.932  0.036
 1097  1043.397  0.035
 1098  1043.863  0.040
 1099  1044.329  0.073
 1100  1044.795  0.096
 1101  1045.261  0.081
 1102  1045.729  0.104
 1103  1046.196  0.123
 1104  1056.104  0.112
 1105  1056.580  0.117
 1106  1057.056  0.122
 1107  1057.533  0.128
 1108  1058.010  0.127
 1109  1058.487  0.116
 1110  1058.965  0.078
 1111  1059.443  0.071
 1112  1059.922  0.074
 1113  1060.401  0.087
 1114  1060.881  0.078
 1115  1061.361  0.086
 1116  1061.841  0.083
 1117  1062.322  0.100
